               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072624,            0.029245,            0.054704,             0.19692,             0.39861,             0.18863,            0.079081,            0.027174,            0.015043,            0.030532,             0.00325,             0.00325,             0.07075
                   1,            0.051057,            0.019263,            0.048921,             0.33176,             0.42542,             0.24391,            0.061136,            0.032048,            0.010166,            0.026873,           0.0065182,           0.0065182,            0.040685
                   2,            0.047283,             0.01596,            0.047366,             0.18461,             0.43165,             0.21705,             0.10891,            0.030735,           0.0082582,            0.026349,           0.0097203,           0.0097203,            0.010554
                   3,            0.043188,            0.015739,            0.045814,             0.28394,             0.52324,             0.34708,             0.17277,            0.025132,           0.0077699,            0.024563,            0.009703,            0.009703,            0.009703
                   4,            0.041675,            0.013078,             0.04603,             0.21998,             0.60078,             0.29363,             0.13424,            0.024128,           0.0083143,            0.027935,            0.009703,            0.009703,            0.009703
                   5,            0.034619,             0.01191,            0.043957,             0.41169,              0.7109,             0.57968,              0.3182,            0.019685,           0.0054435,            0.018009,            0.009604,            0.009604,            0.009604
                   6,            0.032554,             0.01062,            0.038367,             0.62466,             0.74469,             0.72414,              0.4557,            0.017541,           0.0047291,            0.015866,            0.009505,            0.009505,            0.009505
                   7,            0.032936,           0.0097377,            0.037953,             0.50187,             0.87904,             0.72259,             0.43341,            0.017697,           0.0048921,            0.011881,            0.009406,            0.009406,            0.009406
                   8,            0.032547,           0.0092192,            0.035466,             0.52553,             0.81518,             0.77858,             0.58585,            0.013687,           0.0046105,            0.016717,            0.009307,            0.009307,            0.009307
                   9,            0.032842,           0.0092231,            0.034359,             0.77391,              0.9243,             0.84306,             0.62289,            0.016769,           0.0047486,           0.0092033,            0.009208,            0.009208,            0.009208
                  10,            0.027088,            0.009044,            0.028116,             0.77435,             0.94516,             0.85829,             0.69006,            0.012046,           0.0041244,           0.0087481,            0.009109,            0.009109,            0.009109
                  11,            0.028235,           0.0090316,            0.026104,             0.77062,             0.97272,             0.87742,             0.65622,            0.012926,           0.0039775,           0.0069194,             0.00901,             0.00901,             0.00901
                  12,            0.027887,           0.0084453,            0.024535,             0.85929,             0.98557,             0.91299,             0.73738,            0.011547,            0.003794,           0.0045471,            0.008911,            0.008911,            0.008911
                  13,            0.026534,           0.0083765,            0.023881,             0.85249,              0.9835,             0.92004,             0.69427,            0.014169,           0.0040101,           0.0046003,            0.008812,            0.008812,            0.008812
                  14,            0.023103,           0.0078705,            0.019684,             0.81716,              0.9392,             0.90297,             0.74202,            0.011192,           0.0040437,            0.006009,            0.008713,            0.008713,            0.008713
                  15,            0.021622,           0.0075838,            0.017329,             0.80916,             0.92149,             0.89657,             0.68017,            0.012706,           0.0038981,           0.0067674,            0.008614,            0.008614,            0.008614
                  16,            0.024307,           0.0078362,            0.021066,             0.85418,             0.96299,             0.90552,             0.72633,            0.010734,            0.003886,           0.0046252,            0.008515,            0.008515,            0.008515
                  17,            0.024088,           0.0082517,            0.020763,             0.86095,             0.97932,             0.91977,              0.7871,           0.0096407,           0.0039521,           0.0037135,            0.008416,            0.008416,            0.008416
                  18,            0.023495,            0.008311,            0.017574,             0.63175,             0.59591,             0.67242,             0.47083,            0.013415,           0.0070184,            0.019561,            0.008317,            0.008317,            0.008317
                  19,            0.024361,           0.0088029,            0.020541,             0.76084,             0.68653,             0.74984,             0.56223,            0.015099,           0.0074786,            0.008846,            0.008218,            0.008218,            0.008218
                  20,             0.02116,            0.008125,            0.016612,             0.84888,              0.9522,             0.91423,             0.79096,           0.0084676,           0.0036411,           0.0049913,            0.008119,            0.008119,            0.008119
                  21,            0.023074,           0.0074477,            0.016517,              0.8584,             0.96317,             0.92674,             0.70477,            0.013044,           0.0041825,           0.0041258,             0.00802,             0.00802,             0.00802
                  22,            0.023908,           0.0077231,            0.017616,             0.66963,             0.83826,             0.77371,             0.60862,            0.013504,           0.0056217,            0.011935,            0.007921,            0.007921,            0.007921
                  23,             0.02417,           0.0079511,            0.018091,             0.92705,             0.97434,             0.98404,               0.843,           0.0087824,           0.0035163,           0.0032213,            0.007822,            0.007822,            0.007822
                  24,            0.023377,           0.0072799,            0.016765,             0.90705,             0.87818,             0.92567,             0.79398,           0.0088283,            0.003827,           0.0036468,            0.007723,            0.007723,            0.007723
                  25,            0.022306,            0.007594,            0.012485,             0.97861,             0.98346,             0.98431,             0.78193,            0.011476,           0.0035536,           0.0026062,            0.007624,            0.007624,            0.007624
                  26,            0.022603,           0.0082496,             0.01732,              0.9245,             0.76012,             0.87395,              0.7155,            0.011639,           0.0048783,            0.012815,            0.007525,            0.007525,            0.007525
                  27,            0.021372,           0.0080352,            0.014993,             0.98324,             0.99202,             0.98735,             0.83981,           0.0092754,           0.0035804,           0.0019784,            0.007426,            0.007426,            0.007426
                  28,            0.023375,           0.0078517,            0.013455,             0.98476,             0.98936,             0.98656,             0.85742,           0.0095207,           0.0034595,           0.0018688,            0.007327,            0.007327,            0.007327
                  29,            0.019638,           0.0075659,            0.011346,             0.98344,              0.9902,             0.98808,             0.80161,            0.011744,           0.0033194,           0.0018828,            0.007228,            0.007228,            0.007228
                  30,            0.022908,           0.0078894,            0.012814,             0.96294,             0.97828,             0.98648,             0.86037,           0.0078682,            0.003263,           0.0028978,            0.007129,            0.007129,            0.007129
                  31,            0.022385,           0.0077542,            0.011468,             0.97938,             0.98982,             0.98801,             0.87305,           0.0081224,           0.0032571,           0.0019692,             0.00703,             0.00703,             0.00703
                  32,            0.022609,           0.0072866,            0.010903,              0.9793,             0.98466,             0.98853,             0.88344,           0.0075338,           0.0032466,           0.0022238,            0.006931,            0.006931,            0.006931
                  33,            0.021374,           0.0073283,            0.015018,             0.98504,             0.99387,             0.98596,             0.88871,           0.0084142,           0.0032581,           0.0017823,            0.006832,            0.006832,            0.006832
                  34,            0.019877,           0.0075458,            0.011599,              0.9838,             0.99039,              0.9861,             0.85205,            0.009811,           0.0033335,           0.0016945,            0.006733,            0.006733,            0.006733
                  35,            0.019832,           0.0075827,            0.011456,             0.98488,             0.99263,             0.98653,             0.87878,           0.0076361,           0.0030959,           0.0014501,            0.006634,            0.006634,            0.006634
                  36,            0.021221,           0.0074826,            0.012922,             0.98566,             0.98872,              0.9834,             0.85024,           0.0077072,           0.0031837,           0.0018247,            0.006535,            0.006535,            0.006535
                  37,             0.01891,           0.0076489,           0.0087265,             0.97229,             0.99406,             0.98516,                0.86,           0.0079227,           0.0032124,            0.001461,            0.006436,            0.006436,            0.006436
                  38,            0.023305,           0.0076287,            0.012923,             0.98735,             0.99063,             0.98643,             0.87193,           0.0092744,           0.0034906,           0.0014786,            0.006337,            0.006337,            0.006337
                  39,            0.019378,           0.0070823,           0.0090945,             0.98416,             0.99434,             0.98866,              0.8969,           0.0074614,           0.0028554,           0.0015057,            0.006238,            0.006238,            0.006238
                  40,              0.0196,           0.0070848,           0.0088354,             0.98486,             0.99454,             0.98809,             0.90735,            0.007511,           0.0028743,           0.0013627,            0.006139,            0.006139,            0.006139
                  41,            0.022093,           0.0068168,           0.0094215,             0.98437,             0.99084,             0.98779,             0.87298,           0.0072563,           0.0029292,           0.0015434,             0.00604,             0.00604,             0.00604
                  42,            0.020517,           0.0071328,            0.012267,             0.89477,             0.94448,             0.97341,             0.87333,           0.0071334,           0.0032844,           0.0072515,            0.005941,            0.005941,            0.005941
                  43,             0.02004,           0.0076314,            0.012114,             0.98677,                0.99,             0.98553,             0.86973,           0.0076499,            0.003152,           0.0014788,            0.005842,            0.005842,            0.005842
                  44,            0.018344,           0.0072324,             0.01207,              0.9863,             0.98962,             0.98832,             0.90721,           0.0059728,            0.002825,           0.0013574,            0.005743,            0.005743,            0.005743
                  45,             0.01819,           0.0069218,            0.010645,             0.93055,             0.87993,             0.94827,             0.83611,           0.0087432,           0.0044937,           0.0050016,            0.005644,            0.005644,            0.005644
                  46,            0.020304,           0.0068816,            0.012026,             0.98492,             0.99199,             0.98899,              0.9128,           0.0060478,           0.0029072,             0.00129,            0.005545,            0.005545,            0.005545
                  47,            0.015851,           0.0066383,           0.0088807,             0.98687,             0.99244,             0.98942,             0.90982,           0.0062508,            0.002993,           0.0013593,            0.005446,            0.005446,            0.005446
                  48,            0.017318,           0.0065463,           0.0072624,             0.98253,             0.98382,             0.98454,             0.89761,           0.0057441,           0.0033705,           0.0014688,            0.005347,            0.005347,            0.005347
                  49,            0.018479,           0.0067778,           0.0096062,             0.98581,              0.9923,             0.98795,              0.9029,           0.0061173,           0.0029265,           0.0013296,            0.005248,            0.005248,            0.005248
                  50,            0.017053,           0.0064996,           0.0090033,             0.98573,             0.99177,             0.98901,             0.91547,           0.0056457,           0.0027717,            0.001229,            0.005149,            0.005149,            0.005149
                  51,            0.016865,            0.006402,            0.010115,             0.98594,             0.99453,             0.98799,             0.90527,           0.0063129,           0.0028063,           0.0011743,             0.00505,             0.00505,             0.00505
                  52,             0.01963,           0.0066043,             0.01233,             0.98382,             0.98308,             0.98846,             0.91965,           0.0056828,           0.0027911,           0.0015451,            0.004951,            0.004951,            0.004951
                  53,            0.014837,           0.0062185,            0.010454,             0.98492,             0.99435,             0.98804,             0.89789,           0.0063107,           0.0030651,           0.0011397,            0.004852,            0.004852,            0.004852
                  54,            0.017913,           0.0064298,            0.010755,             0.98675,             0.99455,             0.98659,             0.90029,           0.0064403,           0.0028904,           0.0011815,            0.004753,            0.004753,            0.004753
                  55,            0.018859,           0.0065143,            0.010188,             0.98533,             0.99393,             0.98691,             0.92356,           0.0055784,           0.0028067,           0.0011425,            0.004654,            0.004654,            0.004654
                  56,             0.01533,           0.0063576,            0.010254,             0.98578,             0.99455,             0.98949,             0.92388,           0.0057716,           0.0027217,           0.0010706,            0.004555,            0.004555,            0.004555
                  57,            0.016433,           0.0062639,           0.0090582,             0.98565,             0.99467,             0.98893,             0.92735,           0.0052499,            0.002576,           0.0010666,            0.004456,            0.004456,            0.004456
                  58,            0.015629,           0.0060435,           0.0072572,             0.98686,             0.99454,             0.98843,              0.9227,           0.0050862,           0.0025563,           0.0010933,            0.004357,            0.004357,            0.004357
                  59,            0.015393,           0.0061978,            0.007062,              0.9872,             0.99316,             0.98792,             0.92693,           0.0052118,           0.0025827,           0.0012059,            0.004258,            0.004258,            0.004258
                  60,            0.018624,           0.0063917,           0.0076162,             0.98768,             0.99459,             0.98869,              0.9341,           0.0053382,           0.0024764,             0.00112,            0.004159,            0.004159,            0.004159
                  61,            0.015237,           0.0061925,           0.0065461,             0.98742,             0.99425,             0.99023,             0.93597,           0.0048776,           0.0024851,           0.0011031,             0.00406,             0.00406,             0.00406
                  62,             0.01656,           0.0062285,           0.0067123,             0.98745,             0.99472,             0.98948,              0.9392,           0.0050294,           0.0023989,           0.0010851,            0.003961,            0.003961,            0.003961
                  63,            0.015838,            0.006389,           0.0092915,             0.98755,             0.99335,             0.98858,             0.92838,           0.0048823,           0.0024076,           0.0011474,            0.003862,            0.003862,            0.003862
                  64,            0.015478,            0.006299,           0.0065326,             0.98786,             0.99455,             0.98977,             0.93144,           0.0049958,           0.0024411,           0.0010948,            0.003763,            0.003763,            0.003763
                  65,            0.015647,           0.0056553,           0.0049442,             0.98768,             0.99455,             0.98897,             0.94311,           0.0042457,           0.0023805,           0.0010499,            0.003664,            0.003664,            0.003664
                  66,            0.013331,           0.0058434,           0.0064058,             0.98556,             0.99454,             0.98776,             0.94731,           0.0040819,            0.002265,            0.001032,            0.003565,            0.003565,            0.003565
                  67,             0.01382,           0.0056902,           0.0061939,             0.98539,             0.99471,             0.98841,             0.94902,           0.0041845,           0.0023249,            0.000997,            0.003466,            0.003466,            0.003466
                  68,            0.014807,           0.0059593,           0.0066813,              0.9859,             0.99336,             0.98818,             0.94055,           0.0046067,           0.0024021,           0.0010007,            0.003367,            0.003367,            0.003367
                  69,            0.013339,           0.0057663,           0.0055024,             0.98767,             0.99435,             0.98949,             0.93326,            0.004733,             0.00242,          0.00099236,            0.003268,            0.003268,            0.003268
                  70,             0.01279,           0.0056583,            0.005564,              0.9873,             0.99464,             0.98939,             0.93881,           0.0045986,           0.0023419,           0.0009715,            0.003169,            0.003169,            0.003169
                  71,            0.014136,           0.0056585,           0.0044019,             0.98673,             0.99456,             0.99067,             0.93979,           0.0047737,           0.0022932,          0.00095004,             0.00307,             0.00307,             0.00307
                  72,            0.014628,           0.0054748,           0.0057279,             0.98777,             0.99455,              0.9913,             0.95826,           0.0037926,           0.0022269,          0.00096769,            0.002971,            0.002971,            0.002971
                  73,            0.014202,           0.0056853,           0.0055358,             0.98806,             0.99457,             0.99161,             0.95013,              0.0042,           0.0022063,          0.00094606,            0.002872,            0.002872,            0.002872
                  74,            0.011146,           0.0052323,           0.0046949,             0.98724,             0.99461,             0.99163,             0.95139,           0.0039979,           0.0022839,          0.00091743,            0.002773,            0.002773,            0.002773
                  75,            0.011823,           0.0051733,            0.004229,             0.98674,             0.99358,              0.9911,             0.95647,           0.0038857,           0.0022469,          0.00091445,            0.002674,            0.002674,            0.002674
                  76,            0.012556,           0.0052986,           0.0059711,             0.98583,             0.99455,             0.98915,             0.95309,           0.0041899,           0.0022725,          0.00089211,            0.002575,            0.002575,            0.002575
                  77,            0.013427,             0.00535,           0.0057477,             0.98783,             0.99455,             0.98928,             0.95107,           0.0039255,            0.002251,          0.00086098,            0.002476,            0.002476,            0.002476
                  78,            0.010144,           0.0053363,           0.0039464,             0.98776,             0.99457,             0.98842,             0.94563,           0.0041659,           0.0023024,          0.00086706,            0.002377,            0.002377,            0.002377
                  79,            0.011945,           0.0054147,           0.0035931,             0.98763,             0.99454,             0.98934,             0.95484,           0.0038089,           0.0021643,          0.00086226,            0.002278,            0.002278,            0.002278
                  80,            0.012537,           0.0055739,            0.004862,              0.9879,             0.99456,             0.98864,              0.9534,           0.0037319,           0.0021481,          0.00086506,            0.002179,            0.002179,            0.002179
                  81,            0.011182,           0.0054079,           0.0045392,             0.98732,              0.9937,             0.98896,             0.95858,           0.0038069,            0.002156,          0.00085884,             0.00208,             0.00208,             0.00208
                  82,            0.013218,           0.0053975,           0.0046163,             0.98757,             0.99456,             0.98899,             0.95927,            0.003581,           0.0021025,          0.00083563,            0.001981,            0.001981,            0.001981
                  83,            0.011479,           0.0051899,           0.0043097,             0.98747,             0.99461,             0.98873,             0.96257,           0.0036124,           0.0020935,          0.00080709,            0.001882,            0.001882,            0.001882
                  84,            0.011316,           0.0050342,           0.0055775,             0.98822,             0.99396,             0.98845,             0.95797,            0.003678,           0.0021405,          0.00077522,            0.001783,            0.001783,            0.001783
                  85,            0.011377,            0.004974,           0.0041382,             0.98765,              0.9937,               0.989,             0.95912,           0.0036898,           0.0021244,          0.00076744,            0.001684,            0.001684,            0.001684
                  86,            0.013065,           0.0053928,           0.0065008,             0.98679,             0.99455,             0.98915,             0.96118,           0.0035894,           0.0021125,          0.00076789,            0.001585,            0.001585,            0.001585
                  87,            0.010411,           0.0051121,           0.0041857,             0.98732,             0.99455,             0.98859,             0.96277,            0.003539,           0.0021369,          0.00076632,            0.001486,            0.001486,            0.001486
                  88,            0.011087,           0.0051329,           0.0047431,             0.98755,             0.99454,             0.98984,             0.96252,           0.0035759,             0.00214,          0.00075057,            0.001387,            0.001387,            0.001387
                  89,           0.0097455,           0.0051131,           0.0037595,             0.98752,             0.99455,             0.98985,             0.96591,           0.0033544,           0.0021211,          0.00076273,            0.001288,            0.001288,            0.001288
                  90,             0.01011,           0.0048717,           0.0035053,             0.98747,             0.99455,              0.9898,             0.96676,           0.0032537,           0.0020973,          0.00071138,            0.001189,            0.001189,            0.001189
                  91,           0.0093387,           0.0049961,           0.0037002,             0.98724,             0.99455,             0.98941,              0.9635,           0.0032391,           0.0020776,          0.00069062,             0.00109,             0.00109,             0.00109
                  92,           0.0094771,           0.0048675,            0.003122,             0.98774,             0.99454,             0.98948,             0.96527,            0.003199,           0.0020389,          0.00065866,            0.000991,            0.000991,            0.000991
                  93,           0.0097454,           0.0049728,           0.0049283,             0.98772,             0.99455,             0.98986,             0.96224,           0.0032594,           0.0020409,          0.00062032,            0.000892,            0.000892,            0.000892
                  94,            0.009332,           0.0048961,            0.002851,             0.98938,             0.99463,             0.98976,             0.96524,           0.0032559,           0.0020247,          0.00059947,            0.000793,            0.000793,            0.000793
                  95,           0.0084415,           0.0047173,           0.0026166,             0.98856,             0.99393,             0.99029,             0.96756,           0.0032558,           0.0020201,          0.00059629,            0.000694,            0.000694,            0.000694
                  96,           0.0091393,           0.0050199,           0.0038847,             0.98955,             0.99431,             0.99036,             0.96868,           0.0032642,           0.0020052,          0.00059193,            0.000595,            0.000595,            0.000595
                  97,           0.0093911,           0.0048469,           0.0028949,             0.98902,             0.99442,              0.9908,             0.97001,           0.0032272,           0.0020302,          0.00059111,            0.000496,            0.000496,            0.000496
                  98,           0.0089954,           0.0048398,           0.0042758,             0.98806,             0.99463,             0.99099,             0.97006,           0.0032601,           0.0020147,          0.00059693,            0.000397,            0.000397,            0.000397
                  99,           0.0083979,           0.0049064,           0.0043322,             0.98912,             0.99453,             0.99145,             0.96899,           0.0031555,           0.0019928,          0.00058747,            0.000298,            0.000298,            0.000298
